url,name,description,price_vnd,image_urls
https://nongnghieppho.vn/products/phan-npk-dau-trau-20-20-15-te,"NPK Đầu Trâu 20-20-15+TE (50kg) – Tăng năng suất, chất lượng cây trồng","NPK Đầu Trâu 20-20-15+TE (50kg) – Tăng năng suất, chất lượng cây trồng Mô tả: NPK Đầu Trâu 20-20-15+TE cung cấp hàm lượng khoáng NPK cân đối, giúp cây sinh trưởng và phát triển khỏe mạnh. Chống chịu sâu bệnh hại và nâng cao năng suất cây trồng.Chức năng:+ Cung cấp hàm lượng N-P-K cân đối.+ Giúp cây sinh trưởng khỏe mạnh+ Nâng cao chất lượng nông sản.Công dụng– Cung cấp đầy đủ dinh dưỡng thiết yếu cho rau màu, hoa và cây cảnh giai đoạn cây con, sau khi cắt cành, trước trổ hoa và sau thu hoạch.– Kích thích ra rễ mạnh, đâm chồi, ra lá nhanh, cây phát triển xanh tốt. – Thúc đẩy phân hóa mầm hoa mạnh, ra hoa nhiều, tập trung, tăng tỷ lệ đậu trái. – Phục hồi nhanh sau khi hoa và cây cảnh cắt tỉa, đốn cành. – Tăng sức chống chịu của cây trồng khi thời tiết không thuận lợi. – Tăng năng suất cây trồng.Khối lượng: Bao 50kgHướng dẫn sử dụng:+ Rau màu: Pha 20 gram cho 1 lít nước và tưới đều cho rau màu. + Cây ăn quả - cây công nghiệp: 100 gram cho 1 lít nước tưới đều vào gốc.+ Hoa: Bón 20 – 30 gram/chậu (chứa khoảng 0.02 – 0.03 m3)/lần, nếu trồng ngoài đất, bón 150 – 200 gram/10 m2/lần, định kỳ 20 – 25 ngày/lần. + Cây cảnh, bonsai: Bón 20 – 30 gram/chậu/lần, định kỳ 1 tháng/lần. + Cây trồng khác: Bón 1 – 1.5 kg/100 m2/lần, ở thời kỳ cây con, trước ra hoa và nuôi trái.Lợi ích của phân bón NPK 3 màu 20 - 20 - 15 + TE so với các loại phân bón khác:Tăng năng suất và chất lượng nông sản, giúp cây trồng phát triển khỏe mạnh, ra hoa đậu trái tốt, trái to đẹp, chín đều.Cải thiện đất, giúp đất màu mỡ, tăng khả năng giữ nước và thoát nước của đất, giảm sự xói mòn và ô nhiễm của đất.Tiết kiệm chi phí, giúp người nông dân tiết kiệm thời gian và công sức trong việc chăm sóc cây trồng, giảm thiểu sử dụng các loại phân bón khác.Lưu ý:- Chỉ sử dụng cho cây trồng.- Bảo quản nơi khô, thoáng mát, đóng kín miệng bao sau khi sử dụng dang dở.- Để xa tầm tay trẻ em.- Trang bị bảo hộ lao động khi sử dụng.- Vệ sinh sạch sẽ sau khi sử dụng Nông Nghiệp Phố - chuỗi cửa hàng chuyên cung cấp phân bón vô cơ chất lượng, uy tín và hàng đầu trên cả nước.➤ Website: https://nongnghieppho.vn/➤ Hotline: 0865 399 086","1,449,000","['https://product.hstatic.net/1000269461/product/npk_20_20_15_te_e8e3a3cb73ff40fba77422f5bdf72a24_grande.png', 'https://product.hstatic.net/1000269461/product/sp_40_-_1_08fc5b33aeef48998533b367ef94d2df_grande.jpg', 'https://product.hstatic.net/1000269461/product/cap_nhat_web__1__ceadf4d70fb547caa11a5885c3e44373_grande.jpg']"
https://nongnghieppho.vn/products/keo-cat-canh-chinh-hang-buddy-bd043,Kéo cắt cành chính hãng BUDDY BD043,"Kéo cắt cành chính hãng BUDDY BD043 Mô tả: Kéo cắt cành chính hãng BUDDY BD043 chuyên sử dụng để cắt tỉa cành, hoa và cây ăn quả trong vườn. Với chất lượng đạt tiêu chuẩn Nhật Bản, lưỡi kéo mạnh mẽ, sắc bén và bền vững. Kéo cầm vừa tay, gọn nhẹ, thoải mái với phần tay cầm được bọc nhựa giúp việc chăm sóc hoa, cây cảnh trở nên dễ dàng, hiệu quả mà không bị tổn thương tay. Xuất xứ: Taiwan.Chất liệu: Lưỡi thép không gỉ.Thông tin kỹ thuật• Trọng Lượng: 210 gram• Chiều dài kéo: 200mm.• Chiều Dài Lưỡi Cắt: 35 mm• Chất liệu cLưỡi Cắt Thép tôi cao tần chống mài mòn• Đường Kính Vật Thể Cắt - Max : 20mm• Chất Liệu Cán cầm Tay Thép ứng dụng công nghệ mạ PVD Hướng dẫn sử dụng• Sử dụng tốt nhất để cắt tỉa cây vườn và cây ăn quả.• Không sử dụng cho bất kì mục đích nào khác ngoài cắt tỉa.• Đeo găng tay và cẩn thận khi sử dụng.Hướng dẫn bảo quản• Tránh xa tầm tay trẻ em.• Bảo quản nơi khô ráo, thoáng mát.• Lau chùi cẩn thận, thoa dầu vào lưỡi kéo và khóa chốt gài sau khi sử dụng.Nông Nghiệp Phố - chuỗi cửa hàng chuyên cung cấp vật tư nông nghiệp, dụng cụ làm vườn chất lượng, uy tín với hơn 1000+ sản phẩm.➤ Website: https://nongnghieppho.vn/➤ Hotline: 0865 399 086","494,000","['https://product.hstatic.net/1000269461/product/cap_nhat_anh_web___1__2f14a5e7df1f4d8483f6ce75d917e2d1_grande.png', 'https://product.hstatic.net/1000269461/product/bd043_35d12214162446779c584442ac5fa803_grande.jpg']"
https://nongnghieppho.vn/products/hat-giong-du-du-ruot-vang-carinosa-east-west-seed-hai-mui-ten-do-goi-4-hat,Hạt giống Đu đủ ruột vàng Carinosa East-West Seed (Hai Mũi Tên Đỏ) - Gói 4 hạt,"HẠT GIỐNG ĐU ĐỦ RUỘT VÀNG CARINOSA Mô tả: Hạt giống đu đủ ruột vàng Carinosa là giống đu đủ sinh trưởng khỏe, chống chịu tốt với virus đốm vòng. Đậu trái tốt, bình quân trên 40 trái/cây. Thịt dày có màu vàng cam chắc và ngọt, 13° Bx. Trọng lượng trái 1,5 - 2kg, bảo quản tốt và chịu được vận chuyển xa. Xuất xứ: CÔNG TY TNHH EAST- WEST SEED (HAI MŨI TÊN ĐỎ)Quy cách đóng gói: Gói 4 hạt. Một số thông tin• Độ sạch (P): ≥ 99%• Tỷ lệ nảy mầm (G): ≥ 80%• Độ ẩm (H): ≤ 8% Đặc tính giống • Cây sinh trưởng khỏe, kháng bệnh tốt với bệnh virus đốm vòng. • Đậu trái tốt, bình quân trên 40 trái/cây.  • Thịt dày có màu vàng cam chắc bà ngọt, 13° Bx. • Trọng lượng trái 1,5 - 2kg, bảo quản tốt và chịu được vận chuyển xa. Hướng dẫn sử dụng  • 6,5 tháng sau trồng cho thu hoạch lứa đầu tiên. • Khoảng cách trồng 2m x 2 - 2.5m (2000 cây/ha)Hướng dẫn bảo quản• Bảo quản hạt giống nơi khô ráo, không để trực tiếp dưới ánh nắng hoặc nơi có nhiệt độ cao.• Chất lượng hạt giống tốt nhất khi bao bì còn nguyên vẹn.Nông Nghiệp Phố - chuỗi cửa hàng chuyên cung cấp hạt giống uy tín với hơn 1000+ loại giống.➤ Website: https://nongnghieppho.vn/➤ Hotline: 0865 399 086","29,000",['https://product.hstatic.net/1000269461/product/hat_giong_du_du_lai_f1_-__aad0a1d4d1cb4ebf96e8b5140c1ff662_grande.jpg']
https://nongnghieppho.vn/products/che-pham-sinh-hoc-chuyen-dung-cho-hoa-hong-hoa-mau-don,Chế phẩm sinh học chuyên dùng cho hoa hồng - hoa mẫu đơn,"Chế phẩm sinh học chuyên dùng cho hoa hồng - hoa mẫu đơn Mô tả: Chế phẩm sinh học chuyên dùng cho hoa hồng - hoa mẫu đơn giúp cứng thân, xanh lá, bông to, chuần form, lâu tàn. Xuất xứ: CÔNG TY CỔ PHẦN HOÀNG ANH AGRITECHQuy cách: Gói 1kg. Thành phần• Mật độ VSV phân giải xenlulo: 1x108 Cfu/g.•  Bổ sung thêm một số VSV như: Vi khuẩn quang hợp, vi sinh vật cố định Đạm, phân giải Lân, phân giải Protein,phân giải lipit (Baccillus, Lactobaccillus, Nitrosomonas, Nitrobacter)•  Chất mang hữu cơ, Humic 3%•  Hàm lượng NPK 2-1-1Công dụng• Bổ sung vi sinh vật có ích, giúp cải tạo đất. • Có mích rễ, kích mầm, giúp cây phát triển toàn diện. • Ủ mầm hoa, phân hóa mầm hoa. • Ra hoa sớm, ra hoa đồng loạt. Hướng dẫn sử dụng• Bón khi trồng mới, giai đoạn ủ hoa, - Bón 0,1 - 0,2kg/gốc/lần.• Bón khi trồng mới,giai đoạn ủ hoa đóng nụ, sau khi cắt tỉa. Định kỳ 10-15 ngày bón bổ sung 1 lần.• Bón khi trời râm mát, hạn chế bón khi nắng gắt, mưa nhiều.• Có thể sử dụng được cho tất cả các loại hoa và cây trồng khác, lượng dùng tùy theo loại cây và giai đoạn phát triển để cân đối phù hợp.Hướng dẫn bảo quản• Bảo quản nơi khô ráo, thoáng mát. • Tránh xa tầm tay trẻ em.Nông Nghiệp Phố - chuỗi cửa hàng chuyên cung cấp phân bón chất lượng, uy tín và hàng đầu trên cả nước.➤ Website: https://nongnghieppho.vn/➤ Hotline: 0865 399 086","27,000","['https://product.hstatic.net/1000269461/product/cpsh-hoa-hong_9137e67838a64ba2a0648b460838b291_grande.jpg', 'https://product.hstatic.net/1000269461/product/hoa_hong_-_hoa_mau_don_111d41bad95b4357876310ee5005bdde_grande.jpg']"
https://nongnghieppho.vn/products/vua-kich-hoa-nano-hoang-anh-tao-mam-hoa-ra-hoa-dong-loat-goi-40-gram,"Vua kích hoa Nano tạo mầm hoa, kích hoa, kích nụ giúp ra hoa đồng loạt. Chuyên kích hoa mai, lan, hồng, hoa tết - Gói 40 gram","VUA KÍCH HOA NANO TẠO MẦM HOA, RA HOA ĐỒNG LOẠTMô tả sản phẩm: Vua kích hoa Nano kích thích ra hoa cực mạnh, siêu tạo mầm hoa, ra hoa đồng loạt, giúp mập thân, mập cành, hoa đẹp màu, tươi lâu. Pha 40g với 20-25 lít nước phun hoặc tưới cho cây trồng. Xuất xứ: CÔNG TY CỔ PHẦN HOÀNG ANH AGRITECHQuy cách: Gói 40 gram.Thành phần• Bo: 4000ppm • Fe: 1000ppm• Độ ẩm: 1%• Bổ sung thêm MKP (P2O5hh: 52%; K2O: 34%) và các trung, vi lượng Chelate (Mg,Ca, Zn, Cu, Mn,...)Chức năng• Siêu tạo mầm hoa.• Giúp ra hoa đồng loạt. • Mập nụ - Mập cành. • Hoa đẹp màu - Tươi lâu. • Dùng để kích thích ra hoa cho tất cả các loại cây. Hướng dẫn sử dụng • Pha 40g với 20-25 lít nước phun hoặc tưới cho cây trồng. • Tùy theo cây trồng có thể điều chỉnh liều lượng thích hợp. • Sử dụng lúc sáng sớm hoặc chiều mát, tránh trời nắng gắt, mưa nhiều. Sử dụng định kỳ 7-10 ngày/lần. • Dùng chung được với thuốc BVTV. Hướng dẫn bảo quản• Bảo quản nơi khô ráo, thoáng mát.• Tránh xa tầm tay trẻ em.Nông Nghiệp Phố - chuỗi cửa hàng chuyên cung cấp phân bón chất lượng, uy tín và hàng đầu trên cả nước.➤ Website: https://nongnghieppho.vn/➤ Hotline: 0865 399 086","12,000","['https://product.hstatic.net/1000269461/product/vua_kich_hoa_nano__74e9ecda9ee647dbbfdbca5cde93f6aa_grande.jpg', 'https://product.hstatic.net/1000269461/product/tui_dao_don_-_tui_guc_nga__5__e0d94731fb94403d81f0c1f5cfac4c0d_grande.png', 'https://product.hstatic.net/1000269461/product/tui_dao_don_-_tui_guc_nga__6__559f358c2449464a82cc0ab5eb9ba6f8_grande.png']"
https://nongnghieppho.vn/products/phan-npk-phu-my-20-15-15-te-rau-an-cu-qua-goi-500-gr,Phân NPK Phú Mỹ 20-20-15+TE Rau ăn củ quả - Gói 500 gram,"Phân NPK Phú Mỹ 20-20-15 + TE Rau ăn củ - quả Mô tả sản phẩmPhân NPK Phú Mỹ 20-20-15+TE rau ăn củ - quả giúp cây sung chồi, bung hoa, sai quả. Sản phẩm chuyên dùng cho các loại rau ăn củ quả như củ dền, cà chua, khoa lang, đậu cove, khoai tây, bầu, bí...Xuất xứPhân NPK Phú Mỹ 20-20-15+TE Rau ăn củ - quả là sản phẩm của Tổng Công ty Phân bón và Hóa chất Dầu khí (PVFCCo).Quy cách đóng gói Gói 500gram nhỏ gọn, dễ dang sử dụng và bảo quản, chuyên dùng cho nông nghiệp đô thị.Thành phần• Đạm tổng số (Nts): 20%• Lân hữu hiệu (P2O5hh): 20%• Kali hữu hiệu (K2Ohh): 15%• Độ ẩm: 5%Vi lượng (TE):• Kẽm (Zn): 50ppm• Bo (B): 50ppmƯu điểm vượt trội• Hàm lượng Đạm, Lân và Kali cao đảm bảo cung cấp đầy đủ dinh dưỡng cần thiết cho cây trồng để phát triển thân, cành, lá. Kích thích ra hoa, nở rộ.• Giúp cây đâm chồi mạnh, ra lá nhanh, nhanh chóng phục hồi sau thu hoạch và cắt tỉa cành.• Tăng sức chống chịu với điều kiện bất lợi.Hướng dẫn sử dụngLiều lượng phân bón• Chậu nhỏ (đường kính chậu <15cm): 5gram/ chậu/ lần bón.• Chậu trung bình (đường kính chậu từ 15cm - 24cm): 10gram/ chậu/ lần bón.• Chậu lớn (đường kính chậu >24cm): 15gram/ chậu/ lần bón.• Đối với cây trồng diện tích lớn: Bón 10 - 20 gram/ m2.Lưu ý• Sử dụng bón lần thứ 2 và lần thứ 3.• Thời điểm và lượng bón phân:Sử dụng thìa/muỗng có các vạch định mức 5-10 gram để đong lượng phân bón.• Bón lần 2: Khi cây ra hoa hoặc khi bắt đầu đậu trái hoặc chống rụng trái.- Khi cây ra hoa: Bón 100 gram – 300 gram /cây/lần (tùy độ tuổi cây, cây nhỏ bón lượng ít).- Khi cây đậu trái – chống rụng trái: Bón 100 gram – 300 gram/cây/lần (tùy độ tuổi cây).• Bón lần 3: Sau khi cây ra đậu trái (nuôi trái – hạn chế nứt trái).- Sau khi cây đậu trái: Bón 100 gram – 300 gram /cây/lần (tùy độ tuổi cây, cây nhỏ bón lượng ít).- Tùy theo tán cây lớn hay nhỏ mà lượng bón nhiều hay ít, trung bình cứ 1m đường kính tán sẽ bón từ 200-300 gram.• Bón vào buổi chiều mát.Cách bón phân• Bón trực tiếp xa gốc cây (quanh tán cây) sau đó tưới nước.• Hoặc pha loãng theo tỷ lệ 5gram phân bón với 2 lít nước sau đó tưới đều quanh gốc, tránh tưới lên lá.Sử dụng cho cây trồng khác• Cây lương thực: lúa, ngô, khoai lang, khoai tây, sắn (khoai mì)...Bón lót: 100 - 400 kg/ ha.Bón thúc: 100 - 500 kg/ ha/ vụ.• Cây công nghiệp: cà phê, cao su, tiêu, điều, mía, chè, lạc (đậu phộng), đậu tương, đạu xanh...Bón lót: 100 - 1.000 kg/ ha.Bón thúc: 100 - 1.200 kg/ ha/ vụ.• Cây ăn quả (trái): cam, chanh, chanh dây, quýt, bưởi, xoài, nhãn, vải, táo, chôm chôm, sầu riêng, ổi, bơ, na, dứa, chuối...Bón lót: 100 - 1.000 kg/ ha.Bón thúc: 100 - 1.200 kg/ ha/ vụ.• Cây rau, màu: rau cải, cải bắp, su hào, cà chua, dưa hấu, dưa leo, tỏi, ớt, xà lách...Bón lót: 50 - 400 kg/ ha.Bón thúc: 50 - 500 kg/ ha/ vụ.Thông tin cảnh báo• Không nguy hiểm khi tiếp xúc, gây kích ứng nhẹ đối với mắt.• Tránh xa tầm tay trẻ em.Hướng dẫn bảo quản• Bảo quản kín trong túi và để nơi khô ráo, thoáng mát.• Tránh ánh nắng trực tiếp.Nông Nghiệp Phố - chuỗi cửa hàng chuyên cung cấp phân bón chất lượng, uy tín và hàng đầu trên cả nước.➤ Website: https://nongnghieppho.vn/➤ Hotline: 0865 399 086","36,000","['https://product.hstatic.net/1000269461/product/82_51a1c3fd1179459ab5b78ac32deb06e0_grande.png', 'https://product.hstatic.net/1000269461/product/83_60eb9489bbd64e1ab6f4fadf9bb4c14b_grande.png']"
https://nongnghieppho.vn/products/phan-bon-huu-co-song-giang-bo-60-dang-vien-nen,Phân bón hữu cơ Sông Gianh BO-60 dạng viên nén,"Phân bón hữu cơ Sông Gianh BO-60 dạng viên nénMô tả: Phân bón hữu cơ Sông Giang BO-60 dạng viên nén được sản xuất trên dây chuyền công nghệ hiện đại với nguồn nguyên liệu nhập ngoại chất lượng cao chưa nguồn dinh dưỡng hữu cơ hoạt hoá, hợp chất Humat và các khoáng chất có nguồn gốc 100% tự nhiên, cung cấp các dưỡng chất cần thiết cho sự sinh trưởng và phát triển của cây trồng.Xuất xứ: CÔNG TY CP TỔNG CÔNG TY SÔNG GIANH. Quy cách: Gói 2kg.Thành phần• Chất hữu cơ: 60% • Đạm tổng số (Nts): 2,5%•  Lân hữu hiệu (P2O5hh): 2,5%• Kali hữu hiệu (K2Ohh): 2,5%• Axit humic (% khối lượng axit humic): 3%• Tỷ lệ C/N: 11,5• pHH2O: 5• Độ ẩm: 25%.Công dụng• Giúp cây trồng sinh trưởng và phát triển đồng bộ, tăng khả năng kháng chịu với các điều kiện bất lợi và nấm bệnh.• Giúp cây phát triển rễ, sinh chồi, cành lá xanh bền. • Giúp cây trổ nhiều bông, hoa to đẹp, sắc hoa đậm, tươi lâu. • Giúp rau màu sinh trưởng nhanh, lá xanh mướt, chất lượng ngon.Hướng dẫn sử dụng• Đối với cây cảnh:- Lượng bón: 100-300g/gốc cây. - Xới đất quanh gốc, rắc phân và tưới nước cho phân ngấm đều. - Có thể tăng lượng bón tùy độ lớn của cây. • Đối với hoa và rau màu:- Bón lót: sử dụng 1,5-2kg phân bón cho 10m2- Bón chăm sóc: sử dụng 2-4 kg phân bón cho 10m2 đất trồng. Hướng dẫn bảo quản• Để nơi khô ráo, thoáng mát. • Tránh xa tầm tay trẻ em.Nông Nghiệp Phố - chuỗi cửa hàng chuyên cung cấp phân bón chất lượng, uy tín và hàng đầu trên cả nước.➤ Website: https://nongnghieppho.vn/➤ Hotline: 0865 399 086","35,000","['https://product.hstatic.net/1000269461/product/song_gianh_bo-60_e51b5d8be2a34268a9740825a4bb73a1_grande.jpg', 'https://product.hstatic.net/1000269461/product/7_420ead8408db4351b675665b6812dc4c_grande.png', 'https://product.hstatic.net/1000269461/product/8_c562f3826e794078b14542497f50f4b6_grande.png']"
https://nongnghieppho.vn/products/phan-bon-la-dang-long-trimix-dt-goi-10ml,Phân bón lá dạng lỏng TRIMIX-DT - Gói 10ml,"Phân chia lá dạng TRIMIX-DT - Gói 10mlMô tả sản phẩm: Phân lá bảo dưỡng dạng TRIMIX-DT (gói 10ml) cung cấp dinh dưỡng thiết yếu cho cây trồng, giúp tăng trưởng khỏe mạnh, ra hoa, đậu quả tốt, và nâng cao năng suất. Sản phẩm hỗ trợ cây chống sâu bệnh và thay đổi thời tiết, đồng thời đưa ra quá trình quang hợp.Thông tin sản phẩmTên sản phẩm: Phân chia dạng lá rời TRIMIX-DTDung tích: 10mlThương hiệu: ĐiềnTrangMartThành phầnTRIMIX-DT chứa các chất dưỡng thiết yếu cho cây trồng, bao gồm:Đạm (N): 6%Lân (P2O5): 6%Kali (K2O): 4%Các nguyên tố tố lượng: Bo (B), Đồng (Cu), Sắt (Fe), Mangan (Mn), Kẽm (Zn), Molypden (Mo)Công dụngKích thích ra rễ, sâu và lá mới, giúp cây phát triển mạnh mẽ.Tăng cường khả năng quang hợp, cải thiện màu sắc và chất lượng lá.Giúp cây chống chịu tốt hơn với các điều kiện bất lợi như hạn hán, sâu bệnh.Thúc đẩy quá trình ra hoa và đậu quả, tăng năng suất cây trồng.Hướng dẫn sử dụngPhun qua láPha 10ml TRIMIX-DT với 16 lít nước.Phun đều cả hai mặt lá, hoa hoặc trái để cây hấp thụ tốt nhất.Thực hiện định kỳ 7-10 ngày/lần vào buổi sáng sớm hoặc chiều mát để đạt được hiệu quả tối ưu.ngâm lúa giống, cành cànhPha 10ml TRIMIX-DT với 50 lít nước.Ngâm hạt giống hoặc cành giâm để kích thích ra rễ, tăng tỷ lệ ủ và sinh trưởng.Đối tượng sử dụngÁp dụng cho tất cả các loại cây trồng bao gồm: ✔ Cây lương thực: Lúa, bắp. ✔ Rau màu: Rau cải, ớt, cà chua, dưa leo, bầu, bí. ✔ Cây công nghiệp: Tiêu, chè,... ✔ Cây ăn trái: Cam, quýt, bưởi, thanh long, sầu riêng,...Lưu ýLắc đều trước khi sử dụng.Tránh phun khi trời nắng hoặc sắp mưa.Bảo quản nơi khô ráo, thoáng mát, tránh xa tầm tay trẻ em.","6,000","['https://product.hstatic.net/1000269461/product/phan-bon-la-dang-mong-trimix-1_cc3021856a2e4829bb862f9640840fa1_grande.jpg', 'https://product.hstatic.net/1000269461/product/phan-bon-la-dang-mong-trimix-2_9da007db2b2442c889f278cc1b7e638f_grande.jpg']"
https://nongnghieppho.vn/products/combo-cham-soc-hoa-hong-ra-hoa-tai-ch-tp-hcm,Combo chăm sóc hoa hồng ra hoa - Tại CH TP. HCM,"COMBO CHĂM SÓC HOA HỒNG RA HOA Mô tả sản phẩmCombo chăm sóc hoa hồng ra hoa sẽ rất tiện lợi với nhưng người yêu hoa hồng nhưng không có quá nhiều thời gian để chăm sóc. Với combo này, cây hoa hồng nhà bạn sẽ được cung cấp đầy đủ chất dinh dưỡng giúp cây bật mầm khỏe và cho ra những khóm hoa rực rỡ, bền màu. Combo chăm sóc hoa hồng ra hoa bao gồm• 01 Phân gà Nhật Bản AKI Sfarm - Gói 1kg.• 01 Phân dơi cao cấp dạng viên nén - Gói 1kg.• 01 Phân bón lá Growmore Bud Blossom 6-30-30+TE - Lọ 100 gram.• 01 Chế phẩm kíh hoa và dưỡng hoa Powerfeed nhập khẩu từ Úc - Chai 100ml. Công dụng của combo chăm sóc hoa hồng ra hoaVới combo này, việc chăm sóc cây hoa hồng sinh trưởng thật tốt, cây khỏe và cho ra nhiều hoa sẽ đơn giản hơn bao giờ hết: • Phân gà Nhật AKI Sfarmm: giàu K, Ca tăng khả năng thụ phấn và phẩm chất rau củ quả.• Kích hoa và dưỡng hoa Powerfeed: được chiết xuất từ cá hồi, chứa hàm lượng đạm cao, dồi dào vitamin, acid amin và các nguyên tố khoáng có lợi cho cây trồng giúp kích thích hoa phát triển mạnh, hoa bền màu, cánh hoa dày và hoa lâu tàn hơn.• Phân bón lá Growmore Bud Blossom: kích thích cho ra hoa, trổ nhiều và trổ đồng loạt, làm dai cuốn, chống rụng hoa và trái non.• Phân dơi: Giúp cây ra rễ khỏe, đâm chồi mạnh, hoa nhiều, đậu quả tốt, giảm rụng hoa, rụng quả rất tốt.Hướng dẫn sử dụng• Sau khi cắt tỉa cho hoa hồng, tiến hành rải một lớp phân dơi lên trên bề mặt của chậu hoa, sau đó tưới nước đều lên bề mặt phân dơi đã bón, tưới đều mỗi ngày 2 lần vào buổi sáng và buổi chiều.• Kết hợp phun/tưới chế phẩm kích hoa và dưỡng hoa Power feed với liều lượng 15ml cho 16 lít nước, phun xịt cho cây để tăng khả năng ra tược non và phát triển bộ rễ. Phun định kỳ 7 - 10 ngày 1 lần.• Khi cây ra tược non dài khoảng 5cm - 6cm, bón phân gà quanh gốc cây hoa hồng. Kết hợp phun phân bón lá Grow More 6-30-30 + TE  để hỗ trợ cây phát triển rễ và hỗ trợ hình thành nụ hoa. Pha từ 5gr đến 10gr  cho 1 bình 8L, phun đều trên lá, thân cây và xung quanh gốc, định kỳ 7 - 10 ngày/lần. Hướng dẫn bảo quản• Bảo quản nơi khô ráo, thoáng mát.• Tránh xa tầm tay trẻ em.Nông Nghiệp Phố - chuỗi cửa hàng chuyên cung cấp phân bón chất lượng, uy tín và hàng đầu trên cả nước.➤ Website: https://nongnghieppho.vn/➤ Hotline: 0865 399 086","119,000","['https://product.hstatic.net/1000269461/product/combo_phuc_hoi_sau_tet__9__cd95c4be1b7f429e8908027aa0f9340a_grande.png', 'https://product.hstatic.net/1000269461/product/27_cf8da67e2189475a94ebbac315ada56c_grande.png', 'https://product.hstatic.net/1000269461/product/28_2a3e2c2050af42daaf7172e8dd3dc385_grande.png']"
https://nongnghieppho.vn/products/combo-cai-tao-dat-cu-trong-rau-tai-ch-da-nang,"Combo cải tạo đất tơi xốp, giàu dinh dưỡng - Tại CH Đà Nẵng","COMBO CẢI TẠO ĐẤT TƠI XỐP, GIÀU DINH DƯỠNGMô tả sản phẩmSau một vụ trồng, đất cũ khô cằn, thoát nước kém, cạn kiệt dinh dưỡng và tiềm ẩn nhiều nấm bệnh. Bạn muốn trồng rau, củ, hoa kiểng nhưng ngại thay đất mới? Vậy hãy thử cải tạo đất bằng Combo cải tạo đất tơi xốp, giàu dinh dưỡng, vừa tiết kiệm lại cực kỳ hiệu quả. Với combo này, hỗn hợp đất mới sẽ sạch mầm bệnh, tơi xốp, giàu VSV có lợi & giàu dinh dưỡng. Rau được trồng vụ mới sẽ tươi tốt và ít sâu bệnh hại. Combo bao gồm• Vỏ trứng gà Sfarm đã qua xử lý túi 1kg: 1 túi.• Giá thể mụn dừa đã qua xử lý Sfarm túi 20dm: 1 túi.• Giá thể trấu hun nguyên cánh Sfarm túi 20dm: 1 túi.• Chế phẩm nấm đối kháng Trichoderma Plus Humic Sfarm túi 1kg: 1 túi.• Phân trùn quế cao cấp Sfarm Pb01 bao 5kg: 1 túi.Chức năng - Công dụng • Vỏ trứng gà Sfarm: Giúp đất tơi xốp, thoát nước tốt, chứa đến 90% Ca cùng các khoáng chất cần thiết khác cho cây trồng, như: Fe, Cu, Mg, Zn, P…• Giá thể mụn dừa Sfarm: Tăng độ tơi xốp, thoáng khí, khả năng hút và giữ nước, dinh dưỡng cho cây. Cải tạo đất, tăng độ phì nhiêu cho cây trồng, ngăn ngừa sự phát triển của cỏ dại và thúc đẩy bộ rễ phát triển. • Giá thể trấu hun nguyên cám Sfarm: Là loại giá thể nhẹ, tơi xốp, sạch mầm bệnh, giúp tăng tính tơi xốp và giữ ẩm, cải tạo đất bạc màu hiệu quả. Ngoài ra cũng cấp dinh dưỡng, đặc biệt là Kali cho đất và giúp tăng cường hoạt động hệ VSV. • Chế phẩm nấm đối kháng Trichoderma: Ngăn ngừa nấm bệnh, tuyến trùng, vi khuẩn có hại trong đất. Cải tạo đất, giúp đất giàu mùn và màu mỡ hơn với Acid Humic. Phân hủy các chất hữu cơ thành dạng cây dễ hấp thu. • Phân trùn quế cao cấp Sfarm Pb01: Chứa kén trùn quế, cải tạo đất, không gây nóng cây. Kích thích cây phát triển toàn diện, ở cả rễ, thân, lá.Hướng dẫn sử dụng• Bước 1: Sau khi thu hoạch rau xong, bạn tiến hành nhặt sạch rễ cây , cỏ dại và sùng đất rồi xới đất, phơi nắng 2 – 3 ngày nhằm giúp đất thoáng và nhận được nhiều oxy.• Bước 2: Trộn đều giá thể trấu hun, mụn dừa để tăng độ tơi xốp cho đất, bổ sung dinh dưỡng với túi 5kg phân trùn quế Sfarm đồng thời bổ sung nấm đối kháng Trichoderma giúp ngăn ngừa các loại nấm bệnh trong đất, hỗ trợ bộ rễ cây trồng phát triển tốt. • Bước 3: Dùng vòi phun tưới nước để tạo độ ẩm cho đất sau đó ủ đất trong vòng 5 – 7 ngày để cải tạo pH đất cũng như diệt trừ côn trùng, mầm bệnh gây hại trong đất.• Với lượng giá thể và phân bón của combo có thể dùng để cải tạo được khoảng 5 khay trồng rau 65x42x16 cm.Nông Nghiệp Phố - chuỗi cửa hàng chuyên cung cấp đất sạch và giá thể chất lượng, uy tín, hàng đầu trên cả nước.➤ Website: https://nongnghieppho.vn/➤ Hotline: 0865 399 086","285,000","['https://product.hstatic.net/1000269461/product/1_25cdb4cf460d4f5c908e8b792dfb12d1_grande.png', 'https://product.hstatic.net/1000269461/product/1_6f32bcbdd07e4f00817d534115b72b79_grande.jpg', 'https://product.hstatic.net/1000269461/product/6_588032647c2048d9b4cb8c4b78d334b7_grande.png']"
